Year,Inductees,Pos.,Achievements,Ref.
2003,Dino Meneghin,C,"EuroBasket  Gold: 1983Summer Olympics  Silver: 19807× EuroLeague champion  (1970, 1972, 1973, 1975, 1976, 1987, 1988) 2× European Cup Winners' Cup Winner (1967, 1980)Korać Cup Winner (1985)Euroscar (1983)2× Mr. Europa (1980, 1983)12× Italian League Champion (1969, 1970, 1971, 1973, 1974, 1977, 1978, 1982, 1985, 1986, 1987, 1989) 6× Italian Cup Winner (1969, 1970, 1971, 1973, 1986, 1987)FIBA's 50 Greatest Players in 1991  Italian Basketball Hall of Fame (2006) 50 Greatest EuroLeague Contributors (2008)FIBA Hall of Fame (2010)","[125]
"
2003,Robert Parish,C,"4× NBA Champion (1981, 1984, 1986, 1997)9× NBA All-Star (1981–1987, 1990–1991) All-NBA Second Team (1982) All-NBA Third Team (1987)50 Greatest Players in NBA History (1996)","[126]
"
2003,James Worthy,F,"3× NBA Champion (1985, 1987–1988)9× NBA All-Star (1986–1992)NBA Finals MVP (1988)2× All-NBA Third Team (1990–1991)NBA All-Rookie Team (1983)50 Greatest Players in NBA History (1996)","[127]
"
2004,Dražen Dalipagić,F,"FIBA World Championship  Gold: 19783× EuroBasket  Gold: 1973, 1975, 1977Summer Olympics  Gold: 1980FIBA Korać Cup Winner (1978)FIBA World Cup MVP (1978)EuroBasket MVP (1977) 2× Mr. Europa (1977, 1978) The Best Athlete of Yugoslavia (1978)Yugoslav Sportsman of the Year (1978)Euroscar (1980) FIBA's 50 Greatest Players in 1991  FIBA Hall of Fame (2007)","[128]
"
2004,Clyde Drexler,G,"1× NBA Champion (Houston Rockets, 1995)Summer Olympics  Gold: 199210× NBA All-Star (1986, 1988–1993, 1994, 1996, 1997)1× All-NBA First Team Selection (1992)2× All-NBA Second Team Selection (1988, 1991)2× All-NBA Third Team Selection (1990, 1995)member of the ""Dream Team"" inducted as a unit in 2010 50 Greatest Players in NBA History (1996)","[129]
"
2004,Maurice Stokes,F-C,3× NBA All-Star(1956–58) 3× All-NBA Second Team Selection (1956–58) NBA Rookie of the Year (1956),"[130]
"
2004,Lynette Woodard,G,Gold Medalist in 1984 Olympics and 1990 FIBA World Championship for Women. Inducted to Women's Basketball Hall of Fame in 2005.,"[131]
"
2005,Hortencia de Fatima Marcari,G,First played on the Brazil national team at age 15; gold medals at the 1991 Pan American Games and 1994 FIBA World Championship for Women; silver medal at the 1996 Olympics; four wins in the South American Championships; inducted into the Women's Basketball Hall of Fame in 2002 and the FIBA Hall of Fame in 2007,"[132]
"
2006,Charles Barkley,F,"2× Summer Olympics  Gold: 1992, 1996 NBA Most Valuable Player (1993)FIBA Americas Championship  Gold: 199211× NBA All-Star (1987–1997)5× All-NBA First Team (1988–1991, 1993)5× All-NBA Second Team (1986–1987, 1992, 1994–1995)All-NBA Third Team (1996)NBA All-Rookie Team (1985)NBA All-Star Game MVP (1991)50 Greatest Players in NBA History (1996) member of the ""Dream Team"" inducted as a unit in 2010","[133]
"
2006,Joe Dumars,G,"2× NBA Champion (1989–1990)NBA Finals MVP (1989)6× NBA All-Star (1990–1993, 1995, 1997)All-NBA Second Team (1993)2× All-NBA Third Team (1990–1991)4× NBA All-Defensive First Team (1989–1990, 1992–1993)NBA All-Defensive Second Team (1991)NBA All-Rookie Team (1986)FIBA Basketball World Cup  Gold: (1994)","[134]
"
2006,Dominique Wilkins,F,"EuroLeague Champion (1996)9× NBA All Star (1986–1994)NBA scoring champion (1986)All-NBA First Team (1986)4× All-NBA Second Team (1987–1988, 1991, 1993)2× All-NBA Third Team (1989, 1994)Greek Cup Winner (1996)Greek Cup MVP (1996)EuroLeague Final Four MVP (1996)NBA All-Rookie Team (1983)FIBA Basketball World Cup  Gold: (1994)","[135]
"
2008,Adrian Dantley,F,"6× NBA All-Star (1980–1982, 1984–1986)2× All-NBA Second Team (1981,1984)NBA Rookie of the Year (1977)NBA All-Rookie First Team (1977)","[136]
"
2008,Patrick Ewing,C,"2× Summer Olympics  Gold: 1984, 1992FIBA Americas Championship  Gold: 199211× NBA All-Star (1986, 1988–1997)All-NBA First Team (1990)6× All-NBA Second Team (1988–1989, 1991–1993, 1997)3× NBA All-Defensive Second Team (1988–1989, 1992)NBA Rookie of the Year (1986)NBA All-Rookie First Team (1986)NCAA Men's Basketball Champion (1984)NCAA Basketball Tournament Most Outstanding Player (1984)Naismith College Player of the Year (1985)Adolph Rupp Trophy (1985)Member of the ""Dream Team"" inducted as a unit in 201050 Greatest Players in NBA History","[137]
"
2008,Hakeem Olajuwon,C,"2× NBA Champion (1994, 1995)Summer Olympics  Gold: 1996NBA MVP (1994)12× NBA All-Star (1985–1990, 1992–1997)2× NBA Finals MVP (1994, 1995)2× NBA Defensive Player of the Year (1993–1994)6× All-NBA First Team Selection (1987–1989, 1993–1994, 1997)3× All-NBA Second Team Selection (1986, 1990, 1996)3× All-NBA Third Team Selection (1991, 1995, 1999)5× NBA All-Defensive First Team Selection (1987–1988, 1990, 1993–1994)4× NBA All-Defensive Second Team Selection (1985, 1991, 1996–1997)2× NBA rebounding leader (1989, 1990)3× NBA blocks leader (1990, 1991, 1993)NBA All-Rookie Team (1985)50 Greatest Players in NBA HistoryFIBA Hall of Fame (2016)","[138]
"
2009,Michael Jordan,G,"6× NBA Champion (1991–1993, 1996–1998)5× NBA MVP (1988, 1991–92, 1996, 1998)14× NBA All-Star (1985–1993, 1996–1998, 2002–2003)6× NBA Finals MVP  (all-time record)(1991–93, 1996–98)10× All-NBA First Team Selection (1987–1993, 1996–1998)9× NBA All-Defensive First Team Selection (1988–1993, 1996–1998)1× NBA Defensive Player of the Year (1988)NBA All-Rookie First Team (1985)NBA Rookie of the Year (1985)10× NBA Season Scoring Title (all-time record)(1987–1993, 1996–1998)3× NBA Season Steals Leader (1988, 1990, 1993)NCAA Men's Basketball Champion (1982)Naismith Award (1984)2× Summer Olympics  Gold: 1984, 1992FIBA Americas Championship  Gold: 1992Pan American Games  Gold: 19832× USA Basketball Male Athlete of the Year (1983, 1984)Member of the ""Dream Team"" inducted as a unit in 201050 Greatest Players in NBA HistoryFIBA Hall of Fame (2015)","[139]
"
2009,David Robinson,C,"2× NBA Champion (1999, 2003)1× NBA MVP (1995)10× NBA All-Star (1990–96, 1998, 2000–01)4× All-NBA First Team Selection (1991–92, 1995–96)2× All-NBA Second Team Selection (1994, 1998)4× All-NBA Third Team Selection (1990, 1993, 2000–01)1× NBA Defensive Player of the Year (1992)4× NBA All-Defensive First Team Selection (1991–92, 1995–96)4× NBA All-Defensive Second Team Selection (1990, 1993–94, 1998)NBA Rookie of the Year (1990)NBA All-Rookie First Team (1990)3× Summer Olympics  Gold: 1992, 1996  Bronze: 1988FIBA Basketball World Cup  Gold: (1986)Pan American Games  Silver: 1987USA Basketball Male Athlete of the Year (1986)Member of the ""Dream Team"" inducted as a unit in 201050 Greatest Players in NBA History (1996)FIBA Hall of Fame (2013)","[140]
"
2009,John Stockton,G,"10× NBA All-Star (1989–1997, 2000)2× All-NBA First Team Selection6× All-NBA Second Team Selection3× All-NBA Third Team Selection5× NBA All-Defensive Second Team Selection2× Summer Olympics  Gold: 1992, 1996Member of the ""Dream Team"" inducted as a unit in 201050 Greatest Players in NBA HistoryAll-time leader in assistsAll-time leader in steals","[141]
"
2010,Cynthia Cooper-Dyke,G,"2× NCAA Champion (USC, 1983, 1984)Olympic gold medal (1988)4× WNBA Champion (Houston Comets, 1997–2000)2× WNBA MVP (1997, 1998)3× WNBA All-Star (1999, 2000, 2003)3× WNBA Scoring Leader (1997–1999)","[142]
"
2010,Dennis Johnson,G,"5× NBA All-Star (1979–82, 1985) All-NBA First Team (1979), NBA Finals MVP (1979)6× NBA All-Defensive First Team (1979–83, 1987) 3× NBA Champion (Seattle SuperSonics, 1979; Boston Celtics, 1984, 1986)","[143]
"
2010,Gus Johnson,F,"5× NBA All-Star (1965, 1968–71)4× All-NBA Second Team (1965–66, 1970–71)2× NBA All-Defensive First Team (1970–71)NBA All-Rookie First Team (1964)ABA Champion (Indiana Pacers, 1973)","[144]
"
2010,Karl Malone,F,"14× NBA All-Star (1988–1998, 2000–2002)2× NBA MVP (1997, 1999)11× All-NBA First Team Selection (1989–1999)2× All-NBA Second Team Selection (1988, 2000)1× All-NBA Third Team Selection (2001)3× NBA All-Defensive First Team Selection (1997–1999)1× NBA All-Defensive Second Team Selection (1988)NBA All-Rookie Team (1986)2× NBA All-Star MVP (1989, 1993)50 Greatest Players in NBA History (1996)2× Summer Olympics  Gold: 1992, 1996Member of the ""Dream Team"" inducted as a unit in 2010","[145][146]
"
2010,Ubiratan Pereira Maciel,C,"Known as O Rei (The King) in his homeland of Brazil; represented Brazil in four Summer Olympics, winning a bronze medal in 1964; gold medalist at 1963 FIBA World Championship and 1971 Pan American Games; 5-time gold medalist at the FIBA South American Championship (1963, 1968, 1971, 1973, 1977); 5× Brazilian Championship champion (1965, 1966, 1969, 1977, 1981)FIBA Order of Merit (1994)FIBA's 50 Greatest Players in 1991  FIBA Hall of Fame (2009)","[147]
"
2010,Scottie Pippen,F,"6× NBA Champion (1991–1993, 1996–1998)7× NBA All-Star (1990, 1992–1997)1× NBA All-Star Game MVP (1994)3× All-NBA First Team Selection (1994–1996)2× All-NBA Second Team Selection (1992, 1997)2× All-NBA Third Team Selection (1993, 1998)8× NBA All-Defensive First Team Selection (1992–1999)2× NBA All-Defensive Second Team Selection (1991, 2000)50 Greatest Players in NBA History (1996)2× Summer Olympics  Gold: 1992, 1996USA Basketball Male Athlete of the Year (1996)Member of the ""Dream Team"" inducted as a unit in 2010","[148]
"
2011,Dennis Rodman,F,"5× NBA Champion (1989–1990, 1996–1998)2× NBA Defensive Player of the Year (1990–1991)2× NBA All-Star (1990, 1992)2× All-NBA Third Team (1992, 1995)7× NBA All-Defensive First Team (1989–1993, 1995–1996)NBA All-Defensive Second Team (1994)7× NBA Rebounding Champion (1991–98)","[149]
"
2011,Chris Mullin,F,"5× NBA All-Star (1989–1993)All-NBA First Team (1992)2× All-NBA Second Team (1989, 1991)All-NBA Third Team (1990)2× Summer Olympics  Gold: 1984, 1992Pan American Games  Gold: 1983Member of the ""Dream Team"" inducted as a unit in 20101× USBWA College Player of the Year (1985)John R. Wooden Award (1985)","[150]
"
2011,Arvydas Sabonis,C,"3× Summer Olympic Medalist ( Gold, USSR, 1988;  Bronze, Lithuania, 1992 and 1996)2× FIBA Basketball World Cup medalist  Gold: 1982  Silver: 19864× EuroBasket medalist  Gold: 1985  Silver: 1995,  Bronze: 1983, 1989EuroBasket MVP (1985)2× Spanish ACB League MVP (1994, 1995)2× Spanish ACB League Finals MVP (1993, 1994)EuroLeague Final Four MVP (1995)NBA All-Rookie First Team (1996)EuroLeague Regular Season and Top 16 MVP (regular season and Top 16 phases, 2004) 6× Euroscar (1984, 1985, 1988, 1995, 1997, 1999)2× Mr. Europa (1985, 1997)FIBA's 50 Greatest Players in 199150 Greatest EuroLeague Contributors (2008)FIBA Hall of Fame (2010)","[151]
"
2011,Artis Gilmore,C,"ABA All-Time Team (1997)ABA MVP (1972) ABA Rookie of the Year (1972)5× ABA All-Star (1972–76)5× All-ABA First Team (1972–76)5× ABA All-Defensive First Team (1972–76)ABA All-Star Game MVP (1974)ABA Playoff MVP (1975)6× NBA All-Star (1978, 1979, 1981–83, 1986)NBA All-Defensive Second Team (1978)NBA career leader in field goal percentage","[152]
"
2011,Teresa Edwards,G,"5× Olympic Medalist (gold, 1984, 1988, 1996, 2000; bronze, 1992)Inductee, Women's Basketball Hall of Fame (2010)NCAA Silver Anniversary Award (2011)","[153]
"
2011,Goose Tatum,F,Member of the Harlem Globetrotters inducted as a unit in 2002,"[154]
"
2012,Mel Daniels,C,"ABA Rookie of the Year (1968)2× ABA Most Valuable Player (1969, 1971)3× ABA champion (Indiana Pacers, 1970, 1972, 1973)7× ABA All-Star","[155]
"
2012,Katrina McClain,F,"2× Kodak All-America (Georgia, 1986, 1987)WBCA Player of the Year (1987)2× Olympic gold medalist with Team USA (1988, 1996)2× World Championship gold medalist (1986, 1990)2× USA Basketball Female Athlete of the Year","[155]
"
2012,Reggie Miller,G,"Retired with the most three-point field goals in NBA history (2,560)5× NBA All-Star3× All-NBA Third TeamJ. Walter Kennedy Citizenship Award (2004)FIBA Basketball World Cup  Gold: 1994Summer Olympics  Gold: 1996USA Basketball Male Athlete of the Year (2002)","[156]
"
2012,Ralph Sampson,C,"3× Naismith Award (Virginia, 1981, 1982, 1983)2× Wooden Award (1982, 1983)3× consensus first-team All-American (1981–1983)4× NBA All-StarNBA All-Star Game MVP (1985)","[157]
"
2012,Chet Walker,F,"Consensus first-team All-America (Bradley, 1962)NBA All-Rookie Team (1963)7× NBA All-StarNBA champion (Philadelphia 76ers, 1967)","[158]
"
2012,Jamaal Wilkes,F,"3× Academic All-America (UCLA, 1972, 1973, 1974)Consensus first-team All-American (1974)NBA Rookie of the Year (1975)3× NBA All-Star4× NBA champion (Golden State Warriors, 1975; Los Angeles Lakers, 1980, 1982, 1985)","[159]
"
2013,Roger Brown,G-F,"ABA Playoffs MVP (1970)4× ABA All-StarAll-ABA First Team (1971)3× ABA champion (Indiana Pacers, 1970, 1972, 1973)","[160]
"
2013,Bernard King,F,4× NBA All Star2× All-NBA First TeamNBA top scorer (1985)NBA All-Rookie Team,"[161]
"
2013,Gary Payton,G,"NBA champion (Miami Heat, 2006)9× NBA All-Star2× All-NBA First TeamNBA Defensive Player of the Year9× NBA All-Defensive First TeamNBA steals leader2× Summer Olympics  Gold: 1996, 20002× FIBA Americas Championship  Gold (1999),  Silver (1989)","[161]
"
2013,Richie Guerin,G,6× NBA All-Star3× All-NBA Second Team,"[161]
"
2013,Dawn Staley,G,"2× Naismith Award (Virginia, 1991, 1992)6× WNBA All-Star2× ABL All-Star3× Olympic Gold Medalist (1996, 2000, 2004)","[161]
"
2013,Oscar Schmidt,F,"All-time Top Scorer in FIBA World Cup basketball historyAll-time Top Scorer in Summer Olympic Games history3× Summer Olympic Games Top Scorer (1988, 1992, 1996)1× FIBA World Cup Top Scorer (1990)16× Top Scorer in national domestic leagues (8× in Brazil, 7× in Italy, 1× in Spain)Gold Medalist at the Pan American Games (1987)Longest professional career for a basketball player (29 years)FIBA's 50 Greatest Players (1991)FIBA Hall of Fame (2010) Italian Basketball Hall of Fame (2017)","[161]
"
2014,Šarūnas Marčiulionis,G,"3× Summer Olympics medalist ( Gold with the Soviet Union in 1988,  Bronze with Lithuania in 1992 and 1996)3× EuroBasket medalist  Silver: 1987, 1995,  Bronze: 1989EuroBasket MVP (1995)Mr. Europa (1988)4× Lithuanian Sportsman of the Year (1987, 1989, 1990, 1991)FIBA's 50 Greatest Players (1991)Pioneer of European players in the NBAResurrected the Lithuania national team after Lithuania's return to independence in 1990Founder of the top-tier level Lithuanian League, the LKLFIBA Hall of Fame (2015)","[162]
"
2014,Alonzo Mourning,C,"Summer Olympics  Gold: 20002× FIBA Basketball World Cup medalist  Gold: 1994  Bronze: 1990Consensus First Team All-American (Georgetown, 1992)Consensus Second Team All-American (1990)Third-team All-American – NABC (1991)7× NBA All-Star (1994–1997, 2000–2002)All-NBA First Team (1999)All-NBA Second Team (2000)2× NBA Defensive Player of the Year (1999, 2000)2× NBA All-Defensive First Team (1999–2000)2× NBA blocks leader (1999–2000)NBA All-Rookie First Team (1993)J. Walter Kennedy Citizenship Award (2002)NBA champion (Miami Heat, 2006)","[163]
"
2014,Mitch Richmond,G,"6× NBA All-StarNBA Rookie of the Year (1988)3× All-NBA second teamNBA Champion (Los Angeles Lakers, 2002)2× Olympic medalist with Team USA ( Bronze in 1988,  Gold in 1996)","[164]
"
2014,Guy Rodgers,G,"3× MVP in the Philadelphia Big 5Consensus First Team All-American (Temple, 1958)Consensus Second Team All-American (1957)NCAA All-Tournament Team (1958)4× NBA All-Star2× NBA assists leader","[165]
"
2015,Louie Dampier,G,"ABA All-Time Team (1997)ABA All-Rookie First Team (1968)7× ABA All-Star4× All-ABA Second TeamABA Champion(Kentucky Colonels, 1975) AP First Team All-America, 19662× Consensus Second Team All-American (1966, 1967)","[166]
"
2015,Spencer Haywood,F,"Summer Olympics  Gold: 1968ABA All-Time Team (1997)ABA All-Rookie First Team (1970)ABA Rookie of the Year (1970)ABA MVP (1970)ABA All-Star Game MVP (1970)ABA All-StarAll-ABA First TeamNBA Champion (Los Angeles Lakers, 1980)4× NBA All-Star (1972–1975)2× All-NBA First Team2× All-NBA Second Team","[167]
"
2015,John Isaacs,G,"World Professional Basketball Tournament Championships (1939, 1943)World Professional Basketball Tournament Second Team (1943)Utica Pics MVP (1947)New York City Basketball Hall of Fame Inductee (1992)","[168]
"
2015,Lisa Leslie,C,"Naismith Award (USC, 1994)Kodak All-America (1994)8× WNBA All-Star3× WNBA All-Star Game MVP4× Olympic Gold Medalist (1996, 2000, 2004, 2008)3× WNBA MVP (2001, 2004, 2006)2× WNBA Champions (Los Angeles Sparks, 2001, 2002)2× WNBA Finals MVP8× First Team All-WNBA4× Second Team All-WNBA2× WNBA Defensive Player of the Year2× All-Defensive First Team2× All-Defensive Second TeamFirst player to dunk in a WNBA game","[169]
"
2015,Dikembe Mutombo,C,"8× NBA All-Star (1992, 1995–1998, 2000–2002)All-NBA Second Team (2001)2× All-NBA Third Team (1998, 2002)4× NBA Defensive Player of the Year (1995, 1997, 1998, 2001)3× All-NBA Defensive First Team (1997–1998, 2001)3× NBA All-Defensive Second Team (1995, 1999, 2002)NBA All-Rookie First Team (1992)2× NBA rebounding leader3× NBA blocks leader2× J. Walter Kennedy Citizenship Award (2001, 2009)Third-team All-American – AP, UPI (1991)","[170]
"
2015,Jo Jo White,G,"Summer Olympics  Gold: 19682× NBA Champion (1974, 1976)7× NBA All StarNBA Finals MVP (1976)2× All-NBA Second TeamNBA All-Rookie First Team (1970)2× Consensus Second Team All-American (1968, 1969)The Sporting News First Team All-America (1968, 1969)","[171]
"
2016, Yao Ming,C,"8× NBA All-Star2× All-NBA Second Team3× All-NBA Third TeamNBA All-Rookie First Team (2003) CBA champion (2002) CBA MVP (2001) CBA Finals MVP (2002) 3× FIBA Asia Cup MVP (2001, 2003, 2005) FIBA World Cup Top Scorer (2006)","[172]
"
2016,Cumberland  Posey,G,"Known as the ""best basketball player"" of the 1900s-1920s. Formed, operated, and played for the Loendi Big Five, which became the most dominant basketball team of the Black Fives Era through the mid-1920s, winning four straight Colored Basketball World Championship titles.","[172]
"
2016,Sheryl  Swoopes,G,First player to be signed to the WNBA.3× WNBA MVP4× WNBA Champion3× Olympic Gold Medalist,"[172]
"
2016,Zelmo Beaty,C,2× NBA All-StarNBA All-Rookie First Team (1963)3× ABA All-StarABA All-Time Team,"[172]
"
2016,Shaquille O'Neal,C,"4× NBA champion (2000, 2001, 2002, 2006)3× NBA Finals MVP (2000–2002)NBA Most Valuable Player (2000)FIBA Basketball World Cup MVP (1994)15× NBA All-Star (1993–1998, 2000–2007, 2009)3× NBA All-Star Game MVP (2000, 2004, 2009)8× All-NBA First Team (1998, 2000–2006)NBA Rookie of the Year (1993)NBA 50th Anniversary TeamSummer Olympics  Gold: 1996FIBA Basketball World Cup  Gold: 1994FIBA Hall of Fame (2017)","[172]
"
2016,Allen Iverson,G,"NBA Most Valuable Player (2001)11× NBA All-Star (2000–2010)3× All-NBA First Team (1999, 2001, 2005)NBA Rookie of the Year (1997)4× NBA scoring champion (1999, 2001, 2002, 2005)3× NBA Steals Leader (2001–2003)Olympic medalist with Team USA  Bronze in 2004FIBA Americas Championship  Gold (2003)","[172]
"
2017,Tracy McGrady,G-F,"7× NBA All-Star (2001–2007)2× NBA scoring champion (2003, 2004)2× All-NBA First Team (2002, 2003)3× All-NBA Second Team (2001, 2004, 2007)NBA Most Improved Player (2001)Mr. Basketball USA (1997)FIBA Americas Championship  Gold (2003)","[173]
"
2017,Nikos Galis,G,"2× EuroBasket medalist  Gold: 1987,  Silver: 1989EuroBasket MVP (1987)4× EuroBasket Top Scorer (1983, 1987, 1989, 1991)FIBA World Cup Top Scorer (1986)8× EuroLeague Top Scorer (1986–1992, 1994)5× Greek League MVP (1988–1992)5× Greek League Finals MVP (1987–1991)5× Greek Cup Finals Top Scorer (1987, 1989, 1990, 1992, 1993)11× Greek League Top Scorer (1981–1991)Euroscar (1987)Mr. Europa (1987)FIBA's 50 Greatest Players in 1991FIBA Hall of Fame (2007)50 Greatest EuroLeague Contributors (2008)","[173]
"
2017,George McGinnis,F-C,"ABA Playoffs Most Valuable Player (1973)ABA Most Valuable Player (1975)3× NBA All-Star (1976, 1977, 1979)All-NBA First Team (1976)All-NBA Second Team (1977)3× ABA All-Star (1973–1975)2× All-ABA First Team (1974, 1975)All-ABA Second Team (1973)ABA All-Rookie First Team (1972)ABA All-Time TeamNo. 30 retired by Indiana PacersThird-team All-American – AP, NABC, UPI (1971)Mr. Basketball USA 1969","[173]
"
2018,Ray Allen,G,"All-Time Leader three-point field goals (2,973)2× NBA champion (2008, 2013)10× NBA All-Star (2000–2002, 2004–2009, 2011)All-NBA Second Team (2005)All-NBA Third Team (2001)NBA Sportsmanship Award (2003)NBA Three-Point Shootout champion (2001)NBA All-Rookie Second Team (1997)Consensus first-team All-American (1996)UPI Player of the Year (1996)Big East Player of the Year (1996)2× First-team All-Big East (1995, 1996)USA Basketball Male Athlete of the Year (1995)Summer Olympics  Gold: 2000","[174]
"
2018,Maurice Cheeks,G,"NBA champion (1983)4× NBA All-Star (1983, 1986–1988)4× NBA All-Defensive First Team (1983–1986)NBA All-Defensive Second Team (1987)No. 10 retired by the Philadelphia 76ers","[174]
"
2018,Grant Hill,F,"7× NBA All-Star (1995–1998, (2000–2001, 2005)All-NBA First Team (1997)4× All-NBA Second Team (1996, 1998–2000)NBA Co-Rookie of the Year (1995)NBA All-Rookie First Team (1995)3× NBA Sportsmanship Award (2005, 2008, 2010)2× NCAA champion (1991, 1992)Consensus first-team All-American (1994)Consensus second-team All-American (1993)ACC Player of the Year (1994)NABC Defensive Player of the Year (1993)Summer Olympics  Gold: 1996No. 33 retired by Duke","[174]
"
2018,Jason Kidd,G,"NBA champion (2011)10× NBA All-Star (1996, 1998, 2000–2004, 2007, 2008, 2010)5× All-NBA First Team (1999–2002, 2004)All-NBA Second Team (2003)4× NBA All-Defensive First Team (1999, 2001, 2002, 2006)5× NBA All-Defensive Second Team (2000, 2003–2005, 2007)NBA Co-Rookie of the Year (1995)5× NBA assists leader (1999–2001, 2003, 2004)2× NBA Sportsmanship Award (2012, 2013)USA Basketball Male Athlete of the Year (2007)No. 5 retired by the Brooklyn NetsConsensus first-team All-American (1994)USBWA National Freshman of the Year (1993)Pac-10 Player of the Year (1994)Pac-10 Freshman of the Year (1993)No. 5 retired by University of CaliforniaNaismith Prep Player of the Year (1992)2× California Mr. Basketball (1991, 1992)2× Summer Olympics  Gold: 2000, 2008","[174]
"
2018,Steve Nash,G,"2× NBA Most Valuable Player (2005, 2006)8× NBA All-Star (2002, 2003, 2005–2008, 2010, 2012)3× All-NBA First Team (2005–2007)2× All-NBA Second Team (2008, 2010)2× All-NBA Third Team (2002, 2003)5× NBA assists leader (2005–2007, 2010, 2011)4× 50–40–90 club (2006, 2008–2010)J. Walter Kennedy Citizenship Award (2007)Phoenix Suns Ring of HonorNo. 13 retired by Phoenix Suns2× FIBA AmeriCup MVP (1999, 2003)Lou Marsh Trophy (2005)3× Lionel Conacher Award (2002, 2005, 2006)2× WCC Player of the Year (1995, 1996)No. 11 retired by Santa Clara","[174]
"
2018,Katie Smith,G-F,"2× WNBA champion (2006, 2008)WNBA Finals MVP (2008)2× All-WNBA First Team (2001, 2003)7× WNBA All-Star (2000–2003, 2005, 2006, 2009)WNBA scoring champion (2001)WNBA's All-Decade Team (2006)WNBA's Top 15 Players of All Time (2011)WNBA Top 20@20 (2016)Big Ten Player of the Year (1996)Chicago Tribune Silver Basketball (1996)3× Summer Olympics  Gold: 2000, 2004, 20083× World Cup  Gold: 1998, 2002  Bronze: 2006","[174]
"
2018,Tina Thompson,F,"4× WNBA champion (1997, 1998, 1999, 2000)9× WNBA All-Star (1999–2003, 2006, 2007, 2009, 2013)WNBA All-Star Game MVP (2000)3× All-WNBA First Team (1997–1998, 2004)4× All-WNBA Second Team (1999–2002)WNBA's Top 15 Players of All Time (2011)WNBA Top 20@20 (2016)Member of WNBA All-Decade TeamRussian National League champion (2007)EuroLeague champion (2007)Romanian National League champion (2010)2× Summer Olympics  Gold: 2004, 20082× World Cup  Gold: 1998  Bronze: 2006","[174]
"
2018,Ora Mae Washington,,Women's Basketball Hall of Fame (2009),"[174]
"
2018,Dino Rađa,F-C,"2× EuroLeague champion (1989, 1990)FIBA European Selection (1991)FIBA Korać Cup champion (1992)3× Yugoslav League champion (1988–1990)2× Greek League champion (1998, 1999)Greek League Finals MVP (1998)2× Croatian League champion (2002, 2003)Yugoslav Cup winner (1990)Croatian Cup winner (2000)NBA All-Rookie Second Team (1994)EuroLeague Final Four MVP (1989)FIBA's 50 Greatest Players (1991)50 Greatest EuroLeague Contributors (2008)2× Summer Olympics  Silver: 1988, 19922× FIBA World Cup  Gold: 1990  Bronze: 19945x EuroBasket  Gold: 1989, 1991  Bronze: 1987, 1993, 1995","[174]
"
2018,Charlie Scott,G,"NBA champion (1976)3× NBA All-Star (1973–1975)2× ABA All-Star (1971, 1972)All-ABA First Team (1971)All-ABA Second Team (1972)ABA Rookie of the Year (1971)ABA All-Rookie First Team (1971)ABA All-Time Team2× Consensus second-team All-American (1969, 1970)ACC Athlete of the Year (1970)College Basketball Hall of Fame (2015)Summer Olympics  Gold: 1968","[174]
"
